SN,redshift,distancemodulus,sigma
SN406,0.493,42.1469146695,0.2639575465
SN407,0.495,42.2486633669,0.232347965963
SN408,0.495,42.1189081538,0.443653473108
SN409,0.496,42.2146760288,0.152814539841
SN410,0.497,42.0757738154,0.221637712856
SN411,0.497,42.3245530903,0.167980194286
SN412,0.498,42.9837202371,0.642406504117
SN413,0.5,42.3630032623,0.317337166801
SN414,0.5043,42.3382006953,0.149577507475
SN415,0.508,42.1942707319,0.231767202806
SN416,0.51,41.8806853688,0.226762461825
SN417,0.511,42.3736604669,0.0890617545983
SN418,0.514,42.7861936213,0.493735911043
SN419,0.519,43.071509714,0.314462491184
SN420,0.521,42.3782445565,0.199332155448
SN421,0.521,42.1801294521,0.160996803083
SN422,0.522,42.6773303466,0.24715086884
SN423,0.526,42.4002106795,0.16694309723
SN424,0.526,41.9560808598,0.513679185483
SN425,0.528,42.3696918414,0.302654151443
SN426,0.528,42.4543495693,0.24429067529
SN427,0.532,42.5658156596,0.166651053217
SN428,0.539,42.2266632084,0.241797816352
SN429,0.54,42.5111635186,0.282945441834
SN430,0.54,42.4246212672,0.111551880919
SN431,0.543,42.4788058506,0.0981414342081
SN432,0.548,42.2962985563,0.18837089341
SN433,0.55,42.2756470464,0.15520464155
SN434,0.55,44.3434675429,1.00681218041
SN435,0.5516,42.3031837333,0.149254872779
SN436,0.552,42.5109342761,0.103414502954
SN437,0.557,42.5570112027,0.157456031152
SN438,0.561,42.8719504017,0.306521908685
SN439,0.562,43.0505225945,0.33321544156
SN440,0.564,42.3728917486,0.292022400672
SN441,0.568,42.7092496229,0.289546896784
SN442,0.57,42.6714667124,0.470382088569
SN443,0.57,42.4891103591,0.388952633173
SN444,0.571,42.3991620661,0.174223963618
SN445,0.579,43.1863633442,0.643297806625
SN446,0.58,43.3051250139,0.519962251252
SN447,0.581,43.668679767,0.391236930244
SN448,0.581,42.7423233406,0.155462517843
SN449,0.581,42.063423278,0.505033960368
SN450,0.5817,42.6720406074,0.159803369147
SN451,0.582,43.1639102562,0.325207917744
SN452,0.583,42.4011253659,0.28648393048
SN453,0.591,43.2091059677,0.306006112419
SN454,0.592,42.5773227618,0.172394047168
SN455,0.592,44.1523548256,0.717963493004
SN456,0.599,42.7434648961,0.382165112455
SN457,0.603,42.6462047067,0.278628902676
SN458,0.604,42.526976481,0.15968704969
SN459,0.61,42.904965712,0.156248253322
SN460,0.612,42.813940944,0.283023414891
SN461,0.613,42.6167095942,0.260214469673
SN462,0.613,42.9937246636,0.165096720419
SN463,0.615,42.542636608,0.556222743429
SN464,0.619,43.056018637,0.247822481956
SN465,0.62,43.0092526047,0.169564685824
SN466,0.62,43.2279620233,0.390344663066
SN467,0.623,42.5145239973,0.241428134977
SN468,0.6268,42.7586126154,0.157227804978
SN469,0.631,42.8818252933,0.234369669625
SN470,0.631,42.3773831209,0.244974123167
SN471,0.633,42.2016724827,0.259877853306
SN472,0.633,43.0498635302,0.169957137727
SN473,0.64,42.9242754337,0.280114332269
SN474,0.64,43.1643806938,0.193749016644
SN475,0.64,42.7642472749,0.18880937743
SN476,0.643,43.0112669877,0.166369771753
SN477,0.645,42.8169731662,0.234273129747
SN478,0.655,42.3150852482,0.497081624743
SN479,0.656,43.1448591059,0.627202505766
SN480,0.657,42.9752487173,0.658728481435
SN481,0.67,43.1432095538,0.209654285426
SN482,0.671,42.9820070011,0.12054552758
SN483,0.679,43.4574063402,0.195969077309
SN484,0.68,42.9040344577,0.290951926367
SN485,0.687,42.8348351217,0.272537782393
SN486,0.687,42.9963850785,0.285188798534
SN487,0.688,43.0539860347,0.165777265258
SN488,0.691,43.0887669301,0.253842244922
SN489,0.695,43.2117042607,0.20544919439
SN490,0.698,43.768728686,0.433480217975
SN491,0.707,43.2824256201,0.256253916455
SN492,0.71,43.0220388098,0.184280954678
SN493,0.711,43.5665495646,0.366725181041
SN494,0.721,43.1756783825,0.187179852377
SN495,0.73,43.27699552,0.194894052413
SN496,0.735,43.0918403533,0.200575809439
SN497,0.74,43.2875467038,0.198402487067
SN498,0.741,43.7172522874,0.223286859678
SN499,0.75,43.242998687,0.138318457637
SN500,0.752,43.3018298804,0.207071436502
SN501,0.756,43.8139921904,0.192775955331
SN502,0.763,44.4724245942,0.898163121417
SN503,0.772,43.5099938279,0.218834770025
SN504,0.78,43.6008071703,0.171318833305
SN505,0.781,43.4372295515,0.321348684213
SN506,0.791,43.5768811197,0.201343679161
SN507,0.799,43.3788294006,0.233174228134
SN508,0.8,43.7140601053,0.215165244047
SN509,0.81,43.3698924946,0.212685692189
SN510,0.811,43.4045360216,0.210619526441
SN511,0.812,43.6535732762,0.379016341937
SN512,0.815,44.0744016007,0.728921730286
SN513,0.816,43.6910828816,0.457863421823
SN514,0.817,43.6515637361,0.210286863572
SN515,0.818,43.3928941721,0.26755880574
SN516,0.821,43.6409387868,0.194013591972
SN517,0.8218,43.8153639621,0.21320698395
SN518,0.83,44.0506599335,0.208835355956
SN519,0.83,43.5424034366,0.471046842772
SN520,0.833,43.6880978478,0.520913245917
SN521,0.839,43.3980657237,0.222124147444
SN522,0.84,43.5143043773,0.208697053243
SN523,0.84,43.8731031943,0.222348502282
SN524,0.85,43.4942573455,0.171796430655
SN525,0.854,43.6084642861,0.225569905838
SN526,0.859,44.0929026019,0.296965045086
SN527,0.86,43.9216606703,0.172411965167
SN528,0.868,43.4932874061,0.24609516526
SN529,0.87,44.2313042047,0.278817290376
SN530,0.874,43.295379241,0.388089303157
SN531,0.882,43.3750389271,0.583987119465
SN532,0.885,44.1843333063,0.286230184051
SN533,0.905,43.6387400062,0.25746754741
SN534,0.91,44.305516423,0.267241049423
SN535,0.9271,43.9404978712,0.286707554506
SN536,0.93,43.5524295782,0.289918379066
SN537,0.935,43.5401972359,0.227616538358
SN538,0.936,43.3071058635,0.705981399741
SN539,0.949,43.4449098532,0.284630783131
SN540,0.95,43.884150294,0.235845124417
SN541,0.95,43.6383176075,0.297754710705
SN542,0.95,43.9766075066,0.291243768847
SN543,0.953,44.2736202267,0.954717441018
SN544,0.96,43.6132116082,0.275514631381
SN545,0.961,44.2642016168,0.340056560686
SN546,0.97,44.4626016974,0.291454456047
SN547,0.97,42.8212038325,0.805210302782
SN548,0.974,43.8341432564,0.174238940337
SN549,0.975,44.3337254974,0.21278060312
SN550,0.978,43.5000721647,0.292647301809
SN551,0.983,44.1572843671,0.43499764107
SN552,1.01,44.9121378293,0.33374861699
SN553,1.01,44.0124745362,0.375672417143
SN554,1.017,44.2939707709,0.171046154322
SN555,1.02,44.1640655276,0.232339527378
SN556,1.02,44.3629247027,0.220963762065
SN557,1.03,44.2400933572,0.141254202601
SN558,1.057,44.1506301001,0.238584685235
SN559,1.092,44.0078477189,0.246511864633
SN560,1.11,44.6253358523,0.447832632795
SN561,1.12,44.5144054871,0.224079094547
SN562,1.124,44.5675191814,0.197263047621
SN563,1.14,44.1969521333,0.368403293803
SN564,1.14,44.322957093,0.228701029542
SN565,1.188,44.6076425498,0.500544949291
SN566,1.19,44.3628316562,0.247108113742
SN567,1.192,44.4587516,0.200258071902
SN568,1.215,45.2465209495,0.560317445151
SN569,1.23,45.0206757228,0.235028400564
SN570,1.241,44.5817029608,0.478371053196
SN571,1.265,44.944110841,0.235469959716
SN572,1.3,45.0162581016,0.242719167821
SN573,1.305,44.740169328,0.25954011501
SN574,1.307,45.4107441086,0.314696709568
SN575,1.315,44.9713577744,0.187508839367
SN576,1.34,45.0675055813,0.275015093127
SN577,1.35,44.8270654771,0.185705412075
SN578,1.37,45.049713349,0.262748449529
SN579,1.39,44.8762343403,0.250631965185
SN580,1.414,44.8037661387,0.346181483252
